clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
April29_2018_DBunk_MomPE1	12	11	9	9	I	DBunk	2018	8	0	1	female	pulex		
March20_2018_DBunk_11	12	11	9	9	I	DBunk	2018	21	0	1	female	pulex		
March20_2018_DBunk_14	12	11	9	9	I	DBunk	2018	33	0	1	female	pulex		
March20_2018_DBunk_16	12	11	9	9	I	DBunk	2018	15	0	1	female	pulex		
March20_2018_DBunk_19	12	11	9	9	I	DBunk	2018	26	0	1	female	pulex		
March20_2018_DBunk_29	12	11	9	9	I	DBunk	2018	28	0	1	female	pulex		
March20_2018_DBunk_32	12	11	9	9	I	DBunk	2018	21	0	1	female	pulex		
March20_2018_DBunk_33	12	11	9	9	I	DBunk	2018	7	0	1	female	pulex		
March20_2018_DBunk_36	12	11	9	9	I	DBunk	2018	17	0	1	female	pulex		
March20_2018_DBunk_4	12	11	9	9	I	DBunk	2018	18	0	1	female	pulex		
March20_2018_DBunk_7	12	11	9	9	I	DBunk	2018	12	0	1	female	pulex		
April29_2018_DBunk_Male5	12	13	9	10	J	DBunk	2018	8	0	1	male	pulex		
March20_2018_D8_46	12	13	9	10	J	D8	2018	18	0	1	female	pulex		
March20_2018_DBunk_1	12	13	9	10	J	DBunk	2018	5	0	1	female	pulex		
March20_2018_DBunk_12	12	13	9	10	J	DBunk	2018	12	0	1	female	pulex		
March20_2018_DBunk_13	12	13	9	10	J	DBunk	2018	22	0	1	female	pulex		
March20_2018_DBunk_15	12	13	9	10	J	DBunk	2018	26	0	1	female	pulex		
March20_2018_DBunk_17	12	13	9	10	J	DBunk	2018	15	0	1	female	pulex		
March20_2018_DBunk_20	12	13	9	10	J	DBunk	2018	13	0	1	female	pulex		
March20_2018_DBunk_28	12	13	9	10	J	DBunk	2018	19	0	1	female	pulex		
March20_2018_DBunk_30	12	13	9	10	J	DBunk	2018	26	0	1	female	pulex		
March20_2018_DBunk_5	12	13	9	10	J	DBunk	2018	6	0	1	female	pulex		
March20_2018_DBunk_9	12	13	9	10	J	DBunk	2018	21	0	1	female	pulex		
April_2017_DBunk_11	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_145	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_50	12	24	9	11	K	DBunk	2017	12	0	0	female	pulex		
April_2017_DBunk_52	12	24	9	11	K	DBunk	2017	13	0	0	female	pulex		
April_2017_DBunk_65	12	24	9	11	K	DBunk	2017	20	0	0	female	pulex		
April_2017_DBunk_90	12	24	9	11	K	DBunk	2017	38	0	0	female	pulex		
April_2017_DBunk_96	12	24	9	11	K	DBunk	2017	7	0	0	female	pulex		
May_2017_DBunk_520	12	24	9	11	K	DBunk	2017	19	0	0	female	pulex		
May_2017_DBunk_561	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex		
May_2017_DBunk_567	12	24	9	11	K	DBunk	2017	15	0	0	female	pulex		
Spring_2017_DBunk_215	12	24	9	11	K	DBunk	2017	17	0	0	female	pulex		
Spring_2017_DBunk_399	12	24	9	11	K	DBunk	2017	12	0	0	female	pulex		
April_2017_DBunk_108	9	23	10	12	L	DBunk	2017	20	0	0	female	pulex		
April_2017_DBunk_149	9	23	10	12	L	DBunk	2017	13	0	0	female	pulex		
April_2017_DBunk_151	9	23	10	12	L	DBunk	2017	8	0	0	female	pulex		
April_2017_DBunk_253	9	23	10	12	L	DBunk	2017	7	0	0	female	pulex		
April_2017_DBunk_314	9	23	10	12	L	DBunk	2017	8	0	0	female	pulex		
April_2017_DBunk_6	9	23	10	12	L	DBunk	2017	36	0	0	female	pulex		
Spring_2017_DBunk_106	9	23	10	12	L	DBunk	2017	18	0	0	female	pulex		
Spring_2017_DBunk_277	9	23	10	12	L	DBunk	2017	10	0	0	female	pulex		
Spring_2017_DBunk_298	9	23	10	12	L	DBunk	2017	16	0	0	female	pulex		
April_2017_DBunk_112	8	26	11	13	M	DBunk	2017	21	0	0	female	pulex		
April_2017_DBunk_23	8	26	11	13	M	DBunk	2017	1	0	0	female	pulex	1	
April_2017_DBunk_266	8	26	11	13	M	DBunk	2017	18	0	0	female	pulex		
April_2017_DBunk_27	8	26	11	13	M	DBunk	2017	11	0	0	female	pulex		
April_2017_DBunk_28	8	26	11	13	M	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_38	8	26	11	13	M	DBunk	2017	7	0	0	female	pulex		
Spring_2017_DBunk_110	8	26	11	13	M	DBunk	2017	21	0	0	female	pulex		
Spring_2017_DBunk_281	8	26	11	13	M	DBunk	2017	15	0	0	female	pulex		
April29_2018_DBunk_Male4	6	12	12	14	N	DBunk	2018	8	0	1	male	pulex		
April29_2018_DBunk_MomPE2	6	12	12	14	N	DBunk	2018	11	0	1	female	pulex		
March20_2018_DBunk_2	6	12	12	14	N	DBunk	2018	19	0	1	female	pulex		
March20_2018_DBunk_31	6	12	12	14	N	DBunk	2018	17	0	1	female	pulex		
March20_2018_DBunk_34	6	12	12	14	N	DBunk	2018	19	0	1	female	pulex		
March20_2018_DBunk_8	6	12	12	14	N	DBunk	2018	16	0	1	female	pulex		
March20_2018_D8_27	6	113	12	15	O	D8	2018	25	0	1	female	pulex		
March20_2018_D8_34	6	113	12	15	O	D8	2018	19	0	1	female	pulex		
March20_2018_D8_44	6	113	12	15	O	D8	2018	7	0	1	female	pulex		
March20_2018_D8_Male1	6	113	12	15	O	D8	2018	8	0	1	male	pulex		
March20_2018_D8_Male2	6	113	12	15	O	D8	2018	2	0	1	male	pulex	1	
March20_2018_D8_Male3	6	113	12	15	O	D8	2018	10	0	1	male	pulex		
2018_Pulicaria_Pond21_22	5	1	13	16	P	Pond21	2018	12	0	0	female	pulicaria		
2018_Pulicaria_Pond22_21	5	1	13	16	P	Pond22	2018	13	0	0	female	pulicaria		
2018_Pulicaria_Pond22_53	5	1	13	16	P	Pond22	2018	14	0	0	female	pulicaria		
2018_Pulicaria_Pond22_62	5	1	13	16	P	Pond22	2018	23	0	0	female	pulicaria		
2018_Pulicaria_Pond22_72	5	1	13	16	P	Pond22	2018	14	0	0	female	pulicaria		
April17_2018_D8_Male5	5	6	13	17	Q	D8	2018	3	0	1	male	pulex	1	
April29_2018_DBunk_MomPE5	5	6	13	17	Q	DBunk	2018	9	0	1	female	pulex		
March20_2018_D8_2	5	6	13	17	Q	D8	2018	18	0	1	female	pulex		
March20_2018_D8_28	5	6	13	17	Q	D8	2018	7	0	1	female	pulex		
March20_2018_D8_4	5	6	13	17	Q	D8	2018	27	0	1	female	pulex		
April_2017_D8_101	5	17	13	18	R	D8	2017	18	0	0	female	pulex		
April_2017_D8_55	5	17	13	18	R	D8	2017	13	0	0	female	pulex		
April_2017_D8_9	5	17	13	18	R	D8	2017	12	0	0	female	pulex		
May_2017_D8_548	5	17	13	18	R	D8	2017	15	0	0	female	pulex		
May_2017_D8_735	5	17	13	18	R	D8	2017	14	0	0	female	pulex		
March20_2018_D8_14	5	106	13	19	S	D8	2018	17	0	1	female	pulex		
