clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
April_2017_DBunk_28	8	26	11	13	M	DBunk	2017	17	0	0	female	pulex	0	0	0		
April_2017_DBunk_38	8	26	11	13	M	DBunk	2017	7	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_110	8	26	11	13	M	DBunk	2017	21	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_281	8	26	11	13	M	DBunk	2017	15	0	0	female	pulex	0	0	0		
Fall_2016_D10_41	1	70	17	89	OO	D10	2016	25	0	0	female	pulex	0	0	0		
Spring_2016_D8_8.26	1	148	17	150	OO	D8	2016	19	0	0	female	pulex	0	0	0		
Spring_2016_W1_1.1	1	149	17	151	OO	W1	2016	27	0	0	female	pulex	0	0	0		
Spring_2016_W6_6.1	1	150	17	152	OO	W6	2016	9	0	0	female	pulex	0	0	0		
Spring_2016_W6_6.3	1	151	17	153	OO	W6	2016	24	0	0	female	pulex	0	0	0		
April_2017_D8_134	1	20	17	49	OO	D8	2017	19	0	0	female	pulex	0	0	0		
April_2017_D8_137	1	21	17	50	OO	D8	2017	16	0	0	female	pulex	0	0	0		
April_2017_DBunk_103	1	22	17	51	OO	DBunk	2017	13	0	0	female	pulex	0	0	0		
April_2017_DBunk_111	1	25	17	52	OO	DBunk	2017	17	0	0	female	pulex	0	0	0		
April_2017_DBunk_121	1	28	17	53	OO	DBunk	2017	11	0	0	female	pulex	0	0	0		
April_2017_DBunk_128	1	29	17	54	OO	DBunk	2017	14	0	0	female	pulex	0	0	0		
April_2017_DBunk_129	1	30	17	55	OO	DBunk	2017	32	0	0	female	pulex	0	0	0		
April_2017_DBunk_13	1	31	17	56	OO	DBunk	2017	17	0	0	female	pulex	0	0	0		
April_2017_DBunk_131	1	32	17	57	OO	DBunk	2017	16	0	0	female	pulex	0	0	0		
April_2017_DBunk_132	1	33	17	58	OO	DBunk	2017	24	0	0	female	pulex	0	0	0		
