Clone,NCBISampAccession,SC,population,year,month,medrd,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,OneLiterPheno,LowReadDepth
April29_2018_DCat_Male2,SAMN19088653,B,DCat,2018,April,8,1,male,pulex,0,0,0,0
April29_2018_DCat_Male3,SAMN19088654,B,DCat,2018,April,9,1,male,pulex,0,0,0,0
April29_2018_DCat_Male4,SAMN19088655,B,DCat,2018,April,9,1,male,pulex,0,0,0,0
April29_2018_DCat_Male5,SAMN19088656,B,DCat,2018,April,7,1,male,pulex,0,0,0,0
April29_2018_DCat_MomPE1,SAMN19088657,B,DCat,2018,April,9,1,female,pulex,0,0,0,0
April29_2018_DCat_MomPE2,SAMN19088658,B,DCat,2018,April,8,1,female,pulex,0,0,0,0
April29_2018_DCat_MomPE3,SAMN19088659,B,DCat,2018,April,9,1,female,pulex,0,0,0,0
April29_2018_DCat_MomPE4,SAMN19088660,B,DCat,2018,April,7,1,female,pulex,0,0,0,0
April29_2018_DCat_MomPE5,SAMN19088661,B,DCat,2018,April,13,1,female,pulex,0,0,0,0
April5_2018_D8_18105,SAMN19102355,S,D8,2018,April,11,0,female,pulex,1,0,1,0
April5_2018_D8_18106,SAMN19102356,S,D8,2018,April,13,0,female,pulex,1,0,1,0
April5_2018_D8_18108,SAMN19102357,AL,D8,2018,April,5,0,female,pulex,1,0,1,0
April5_2018_D8_18109,SAMN19102358,S,D8,2018,April,11,0,female,pulex,1,0,1,0
April5_2018_D8_18111,SAMN19102359,T,D8,2018,April,11,0,female,pulex,1,0,1,0
April5_2018_D8_18122,SAMN19102360,S,D8,2018,April,6,0,female,pulex,1,0,1,0
AxB_R1_136_A,SAMN18927638,AxCF1,NA,NA,NA,6,0,female,pulex,1,1,1,0
AxB_R1_188_A,SAMN18927657,selfedC,NA,NA,NA,9,0,female,pulex,0,1,1,0
AxB_R1_P110_A,SAMN18927655,A,NA,NA,NA,12,0,female,pulex,0,1,1,0
AxB_R1_P50_A,SAMN18927639,AxCF1,NA,NA,NA,7,0,female,pulex,1,1,1,0
AxB_R1_P56_A,SAMN18927640,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R1_P87_B,SAMN18927641,AxCF1,NA,NA,NA,13,0,female,pulex,1,1,1,0
AxB_R2_P102_A,SAMN18927642,AxCF1,NA,NA,NA,15,0,female,pulex,1,1,1,0
AxB_R2_P103_B,SAMN18927643,AxCF1,NA,NA,NA,7,0,female,pulex,1,1,1,0
AxB_R2_P107_A,SAMN18927644,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R2_P121_A,SAMN18927645,AxCF1,NA,NA,NA,3,0,female,pulex,1,1,1,0
AxB_R2_P133_A,SAMN18927658,selfedC,NA,NA,NA,12,0,female,pulex,0,1,1,0
AxB_R2_P150_B,SAMN18927659,selfedC,NA,NA,NA,10,0,female,pulex,0,1,1,0
AxB_R2_P176_A,SAMN18927646,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R2_P192_B,SAMN18927660,selfedC,NA,NA,NA,14,0,female,pulex,0,1,1,0
AxB_R2_P203_A,SAMN18927647,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R2_P227_A,SAMN18927661,selfedC,NA,NA,NA,13,0,female,pulex,0,1,1,0
AxB_R2_P30_A,SAMN18927662,selfedC,NA,NA,NA,7,0,female,pulex,0,1,1,0
AxB_R2_P378_A,SAMN18927663,selfedC,NA,NA,NA,6,0,female,pulex,0,1,1,0
AxB_R2_P52_B,SAMN18927648,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R2_P87_B,SAMN18927664,selfedC,NA,NA,NA,5,0,female,pulex,0,1,1,0
AxB_R2_P91_A,SAMN18927665,selfedC,NA,NA,NA,13,0,female,pulex,0,1,1,0
AxB_R3_431_A,SAMN18927649,AxCF1,NA,NA,NA,12,0,female,pulex,1,1,1,0
AxB_R4_P119_A,SAMN18927650,AxCF1,NA,NA,NA,7,0,female,pulex,1,1,1,0
AxB_R4_P160_A,SAMN18927666,selfedC,NA,NA,NA,16,0,female,pulex,0,1,1,0
AxB_R4_P161_A,SAMN18927667,selfedC,NA,NA,NA,19,0,female,pulex,0,1,1,0
AxB_R4_P169_A,SAMN18927668,selfedC,NA,NA,NA,15,0,female,pulex,0,1,1,0
AxB_R4_P17_A,SAMN18927651,AxCF1,NA,NA,NA,4,0,female,pulex,1,1,1,0
AxB_R4_P17_B,SAMN18927652,AxCF1,NA,NA,NA,5,0,female,pulex,1,1,1,0
AxB_R4_P185_A,SAMN18927669,selfedC,NA,NA,NA,5,0,female,pulex,0,1,1,0
AxB_R4_P51_A,SAMN18927653,AxCF1,NA,NA,NA,9,0,female,pulex,1,1,1,0
AxB_R4_P55_A,SAMN18927654,AxCF1,NA,NA,NA,15,0,female,pulex,1,1,1,0
AxB_R4_P93_A,SAMN18927670,selfedC,NA,NA,NA,11,0,female,pulex,0,1,1,0
D8179_R1_P58_A,SAMN18927656,A,NA,NA,NA,12,0,female,pulex,0,1,1,0
D8222_R1_P169_B,SAMN18927671,selfedC,NA,NA,NA,11,0,female,pulex,0,1,1,0
D8222_R1_P213_B,SAMN18927672,selfedC,NA,NA,NA,9,0,female,pulex,0,1,1,0
D8222_R1_P472_A,SAMN18927673,selfedC,NA,NA,NA,9,0,female,pulex,0,1,1,0
D8222_R1_P541_A,SAMN18927674,selfedC,NA,NA,NA,7,0,female,pulex,0,1,1,0
D8222_R1_P631_A,SAMN18927675,selfedC,NA,NA,NA,1,0,female,pulex,0,1,1,1
D8222_R1_P701_A,SAMN18927676,selfedC,NA,NA,NA,9,0,female,pulex,0,1,1,0
D8222_R1_P716_A,SAMN18927677,selfedC,NA,NA,NA,11,0,female,pulex,0,1,1,0
D8222_R2_P156_A,SAMN18927678,selfedC,NA,NA,NA,8,0,female,pulex,0,1,1,0
D8515_R2_P220_B,SAMN18927679,selfedC,NA,NA,NA,14,0,female,pulex,0,1,1,0
D8515_R2_P337_B,SAMN18927680,selfedC,NA,NA,NA,14,0,female,pulex,0,1,1,0
December17_2018_D8_1,SAMN19021176,OO,D8,2018,December,5,1,female,pulex,0,0,0,0
Fall_2016_D10_41,SAMN19067574,OO,D10,2016,October,25,0,female,pulex,0,0,0,0
Fall_2016_D10_45,SAMN19067575,AF,D10,2016,October,16,0,female,pulex,0,0,0,0
Fall_2016_D10_46,SAMN19067576,D,D10,2016,October,13,0,female,pulex,0,0,0,0
Fall_2016_D10_49,SAMN19067577,D,D10,2016,October,11,0,female,pulex,0,0,0,0
Fall_2016_D10_50,SAMN19067578,D,D10,2016,October,14,0,female,pulex,0,0,0,0
Fall_2016_D10_57,SAMN19067579,D,D10,2016,October,17,0,female,pulex,0,0,0,0
Fall_2016_D10_62,SAMN19067580,D,D10,2016,October,18,0,female,pulex,0,0,0,0
Fall_2016_D10_63,SAMN19067581,D,D10,2016,October,10,0,female,pulex,0,0,0,0
Fall_2016_D10_67,SAMN19067582,D,D10,2016,October,15,0,female,pulex,0,0,0,0
Fall_2016_D10_70,SAMN19067583,D,D10,2016,October,17,0,female,pulex,0,0,0,0
Fall_2016_D10_74,SAMN19067584,D,D10,2016,October,13,0,female,pulex,0,0,0,0
Fall_2016_D10_76,SAMN19067585,D,D10,2016,October,18,0,female,pulex,0,0,0,0
Fall_2016_D10_79,SAMN19067586,D,D10,2016,October,16,0,female,pulex,0,0,0,0
Fall_2016_D10_81,SAMN19067587,D,D10,2016,October,14,0,female,pulex,0,0,0,0
Fall_2016_D10_84,SAMN19067588,AF,D10,2016,October,21,0,female,pulex,0,0,0,0
Fall_2016_D10_85,SAMN19067589,D,D10,2016,October,16,0,female,pulex,0,0,0,0
Fall_2016_D10_A12,SAMN19067590,D,D10,2016,October,10,0,female,pulex,0,0,0,0
Fall_2016_D10_A13,SAMN19067591,D,D10,2016,October,10,0,female,pulex,0,0,0,0
Fall_2016_D10_A14,SAMN19067592,D,D10,2016,October,16,0,female,pulex,0,0,0,0
Fall_2016_D10_A20,SAMN19067593,D,D10,2016,October,13,0,female,pulex,0,0,0,0
Fall_2016_D10_A21,SAMN19067594,D,D10,2016,October,10,0,female,pulex,0,0,0,0
Fall_2016_D10_A4,SAMN19067595,D,D10,2016,October,21,0,female,pulex,0,0,0,0
Fall_2016_D10_A6,SAMN19067596,D,D10,2016,October,11,0,female,pulex,0,0,0,0
Fall_2016_D10_A7,SAMN19067597,D,D10,2016,October,17,0,female,pulex,0,0,0,0
Fall_2016_D10_A9,SAMN19067598,D,D10,2016,October,18,0,female,pulex,0,0,0,0
March15_2019_D8_MomPE1,SAMN19088662,OO,D8,2019,March,6,1,female,pulex,0,0,0,0
March15_2019_D8_MomPE10,SAMN19088663,OO,D8,2019,March,2,1,female,pulex,0,0,0,1
March15_2019_D8_MomPE11,SAMN19088664,OO,D8,2019,March,7,1,female,pulex,0,0,0,0
March15_2019_D8_MomPE12,SAMN19088665,AG,D8,2019,March,10,1,female,pulex,0,0,0,0
March15_2019_D8_MomPE13,SAMN19088666,AG,D8,2019,March,13,1,female,pulex,0,0,0,0
March15_2019_D8_MomPE14,SAMN19088667,OO,D8,2019,March,11,1,female,pulex,0,0,0,0
March15_2019_D8_MomPE15,SAMN19088668,AH,D8,2019,March,4,1,female,pulex,0,0,0,0
